9,County Name,County Code FIPS,ZIP Code Tabulation Area (5-Digit),SAEP Version,Estimated Total Population 2000,Estimated Total Population 2001,Estimated Total Population 2002,Estimated Total Population 2003,Estimated Total Population 2004,Estimated Total Population 2005,Estimated Total Population 2006,Estimated Total Population 2007,Estimated Total Population 2008,Estimated Total Population 2009,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Estimated Total Population 2017,Estimated Total Population 2018,Estimated Total Population 2019,Estimated Total Population 2020,Numeric Change in Population 2000 to 2010,Percent Change in Population 2000 to 2010,Numeric Change in Population 2010 to 2020,Percent Change in Population 2010 to 2020
204,King,033,98033,"September 16, 2020",31161.55,31461.633,31825.979,31985.234,32182.919,32407.864,32918.297,33351.36,33679.86,33973.67,34338,34533.11,34863.138,34968.159,35299.259,35801.43,36499.767,37289.505,37883.882,38649.487,39208.715,3176.45,0.10193,4870.715,0.14185
205,King,033,98034,"September 16, 2020",39651.643,39705.021,39839.164,39717.733,39646.755,39611.39,39923.959,40139.814,40228.605,40276.097,40407,40698.969,40881.305,40938.477,41445.999,41755.076,42304.267,42973.995,43564.255,44409.168,45557.868,755.357,0.01905,5150.868,0.12747
206,King,033,98038,"September 16, 2020",23000.441,23804.247,24657.174,25349.233,26066.882,26803.001,27777.014,28690.895,29516.896,30312.307,31171,31392.638,31911.858,32586.632,33107.922,33616.57,33845.202,33994.943,34284.044,35224.343,35740.096,8170.559,0.35523,4569.096,0.14658
207,King,033,98039,"September 16, 2020",3011.121,3005.429,3005.842,2987.018,2972.055,2959.83,2973.571,2980.023,2977.002,2970.932,2971,2971.994,2991.987,3001.988,3057.002,3097.002,3167.057,3207.05,3247.065,3247.088,3302.092,-40.121,(    1.332%),331.092,0.11144
208,King,033,98040,"September 16, 2020",22036.886,22090.776,22189.614,22146.015,22130.339,22134.402,22332.972,22477.647,22551.262,22601.719,22699,22710,22690,22720,23310,23480,23660,24210,24270,24470,24690,662.114,0.03005,1991,0.08771
209,King,033,98042,"September 16, 2020",36993.852,37640.768,38364.823,38840.677,39360.745,39912.363,40816.475,41627.23,42308.479,42946.083,43673,44013.69,44354.226,44965.897,45674.243,45953.737,46598.978,48058.374,48490.435,48840.388,49148.506,6679.148,0.18055,5475.506,0.12538
210,King,033,98045,"September 16, 2020",13565.367,13590.048,13642.373,13607.174,13589.187,13583.369,13696.9,13777.289,13814.092,13836.719,13888,14004.796,14121.631,14372.093,14786.427,14981.448,15103.159,15129.201,15184.506,15332.098,15861.386,322.633,0.02378,1973.386,0.14209
211,King,033,98047,"September 16, 2020",4764.192,4908.431,5062.798,5184.194,5311.002,5441.692,5620.62,5787.219,5936.012,6078.671,6234,6298.501,6312.447,6450.08,6524.285,6543.628,6607.938,6625.95,6646.203,6654.827,6702.906,1469.808,0.30851,468.906,0.07522
212,King,033,98050,"September 16, 2020",301.755,303.61,306.086,306.589,307.472,308.621,312.486,315.607,317.734,319.536,322,325.907,331.907,334.126,344.006,346.187,356.688,359.76,367.553,365.714,366.753,20.245,0.06709,44.753,0.13898
213,King,033,98051,"September 16, 2020",2851.914,2892.119,2938.228,2965.362,2995.956,3029.006,3088.782,3141.402,3184.221,3223.766,3270,3269.111,3306.963,3352.992,3421.833,3431.193,3512.529,3618.846,3683.683,3748.792,3784.864,418.086,0.1466,514.864,0.15745
214,King,033,98052,"September 16, 2020",50398.559,51174.372,52054.915,52599.092,53203.981,53852.164,54975.599,55972.442,56794.788,57558.567,58442,59269.42,59502.586,60034.322,61966.321,63510.262,64889.995,66337.893,68074.53,69875.904,73899.795,8043.441,0.1596,15457.795,0.2645
215,King,033,98053,"September 16, 2020",11131.301,11889.973,12673.491,13373.139,14083.382,14801.556,15652.076,16471.603,17241.801,17994.022,18784,19398.277,19975.419,20413.79,21393.998,21713.218,22074.115,22018.743,22033.995,22371.638,22265.592,7652.699,0.68749,3481.592,0.18535
216,King,033,98055,"September 16, 2020",18502.368,18832.024,19200.273,19444.296,19710.41,19992.27,20450.714,20862.442,21209.282,21534.252,21904,21943.666,21929.876,22208.803,22574.765,22788.409,23801.806,24282.236,24755.852,24953.72,25061.163,3401.632,0.18385,3157.163,0.14414
217,King,033,98056,"September 16, 2020",26365.166,26962.55,27615.25,28088.863,28593.324,29119.917,29904.038,30620.939,31243.054,31832.87,32489,32694.04,33105.635,33600.487,34164.432,34612.343,35185.161,35407.24,36070.446,36286.705,36839.804,6123.834,0.23227,4350.804,0.13392
218,King,033,98057,"September 16, 2020",9290.69,9417.669,9563.916,9648.404,9744.169,9847.951,10038.611,10205.997,10341.52,10466.395,10613,11565.784,11744.739,11888.003,12029.839,12127.374,12779.697,13045.492,13307.454,13318.47,13347.149,1322.31,0.14233,2734.149,0.25762
219,King,033,98058,"September 16, 2020",37696.98,38099.837,38580.496,38812.468,39090.711,39401.807,40060.111,40624.656,41061.928,41456.918,41938,42078.772,42247.989,42747.361,43428.777,43652.708,44299.896,44562.558,44808.344,44992.383,45205.03,4241.02,0.1125,3267.03,0.0779
220,King,033,98059,"September 16, 2020",24680.962,25644.884,26661.814,27504.505,28374.127,29263.311,30412.497,31496.628,32484.594,33438.863,34463,34987.443,35342.911,35932.688,36735.558,37317.537,38287.421,38874.424,39819.088,39964.124,40466.639,9782.038,0.39634,6003.639,0.17421
221,King,033,98065,"September 16, 2020",4470.317,5290.269,6121.71,6911.064,7702.222,8495.122,9365.168,10220.13,11045.804,11859.864,12699,13016.158,13409.498,13781.659,14245.958,14954.008,15222.249,15314.009,15563.186,15788.832,15828.521,8228.683,1.84074,3129.521,0.24644
222,King,033,98068,"September 16, 2020",120.933,116.675,112.65,107.917,103.36,98.922,95.341,91.487,87.327,83.078,79,82.031,85.737,86.902,89.067,90.857,92.436,96.635,116.774,121.758,122.207,-41.933,(   34.675%),43.207,0.54692
223,King,033,98070,"September 16, 2020",10123.41,10167.792,10232.886,10232.234,10244.313,10265.395,10376.747,10463.252,10516.742,10559.428,10624,10679.982,10807.302,10860.448,10985.742,11031.206,11021.544,10900.949,10790.649,10794.745,10850.47,500.59,0.04945,226.47,0.02132
224,King,033,98072,"September 16, 2020",17988.744,18113.455,18275.121,18319.191,18385.676,18468.021,18712.917,18913.417,19054.422,19175.813,19337,19437.772,19577.082,19704.918,20103.069,20104.119,20565.348,20690.963,20882.724,21503.493,21913.876,1348.256,0.07495,2576.876,0.13326
225,King,033,98074,"September 16, 2020",20935.2,21404.545,21917.84,22288.997,22684.681,23097.932,23715.469,24279.643,24768.653,25232.056,25748,25885.163,26031.657,26247.696,26835.402,27033.688,27165.195,27691.312,28355.697,28894.239,29173.234,4812.8,0.22989,3425.234,0.13303
226,King,033,98075,"September 16, 2020",14169.349,14815.669,15492.703,16068.165,16658.662,17260.125,18015.168,18732.418,19392.732,20032.928,20715,21018.231,21351.821,21770.31,22385.284,22905.084,23033.551,23494.852,23939.589,24301.584,24656.794,6545.651,0.46196,3941.794,0.19029
227,King,033,98077,"September 16, 2020",13112.733,13059.971,13033.704,12924.073,12831.466,12750.823,12781.977,12781.49,12740.289,12686.031,12658,12710.621,12820.295,12895.195,13108.113,13119.273,13291.146,13324.707,13338.519,13359.482,13403.698,-454.733,(    3.468%),745.698,0.05891
228,King,033,98092,"September 16, 2020",26756.479,27353.183,28006.05,28477.298,28979.918,29504.989,30291.001,31008.84,31630.658,32219.779,32876,32949.965,33285.068,33890.348,34788.728,35443.264,36382.911,37074.779,37892.169,38473.609,38561.814,6119.521,0.22871,5685.814,0.17295
229,King,033,98101,"September 16, 2020",8928.36,9054.281,9198.717,9283.731,9379.578,9483.144,9670.337,9835.183,9969.313,10093.171,10238,10331.843,10571.067,10811.647,11074.806,12842.839,13363.418,14031.594,15497.331,16335.39,17849.823,1309.64,0.14668,7611.823,0.74349
230,King,033,98102,"September 16, 2020",19424.22,19546.496,19708.621,19743.973,19803.581,19880.362,20132.081,20335.911,20475.747,20594.522,20756,21523.61,21730.703,22424.748,22761.858,23676.315,24656.563,25642.813,26393.331,26790.073,27553.905,1331.78,0.06856,6797.905,0.32752
231,King,033,98103,"September 16, 2020",41817.972,42203.727,42675.66,42872.645,43121.277,43406.539,44074.131,44638.011,45061.814,45439.26,45911,46039.345,46170.238,46980.653,47499.541,48454.421,50138.084,51917.243,52740.329,53442.583,54288.33,4093.028,0.09788,8377.33,0.18247
232,King,033,98104,"September 16, 2020",13091.531,13084.582,13104.213,13039.866,12992.289,12956.568,13034.545,13080.736,13085.43,13076.676,13095,13091.029,13067.654,13833.034,14042.328,14889.376,15373.59,16388.581,17084.195,18196.287,19567.747,3.469,0.00026,6472.747,0.49429
233,King,033,98105,"September 16, 2020",39206.181,39655.849,40186.542,40458.057,40777.55,41131.163,41847.308,42465.777,42951.285,43392.578,43924,44334.264,44834.067,45325.527,46832.025,48434.728,50314.651,51947.56,53146.16,54963.536,55347.268,4717.819,0.12033,11423.268,0.26007
234,King,033,98106,"September 16, 2020",22875.359,22862.367,22895.841,22782.585,22698.636,22635.359,22770.773,22850.609,22857.952,22841.838,22873,22920.535,23072.084,23219.583,23894.141,24315.696,24871.973,25383.96,25756.619,25936.627,26131.336,-2.359,(    0.010%),3258.336,0.14245
235,King,033,98107,"September 16, 2020",18771.794,18998.721,19264.479,19405.944,19570.337,19751.022,20105.837,20413.81,20657.941,20880.783,21147,21366.25,21639.328,22115.767,23082.159,24510.752,26025.742,27631.766,28587.57,29277.841,29695.136,2375.206,0.12653,8548.136,0.40422
236,King,033,98108,"September 16, 2020",21465.383,21544.231,21666.941,21650.478,21661.085,21690.836,21911.273,22079.101,22177.215,22252.556,22374,22534.575,22684.079,23170.545,23444.479,23817.294,24242.636,24667.118,24979.218,25211.05,25335.355,908.617,0.04233,2961.355,0.13236
237,King,033,98109,"September 16, 2020",16089.632,16542.969,17030.334,17406.936,17801.974,18210.235,18779.82,19307.906,19776.519,20224.684,20715,20845.649,20909.164,22321.93,23545.153,25579.242,27266.987,30107.055,32303.706,35563.285,37890.705,4625.368,0.28748,17175.705,0.82914
238,King,033,98112,"September 16, 2020",20565.417,20605.076,20686.657,20635.499,20610.433,20603.826,20778.223,20902.401,20960.452,20996.976,21077,21100.579,21151.352,21343.775,21728.916,22191.803,22792.047,23347.637,23760.764,24009.104,24054.273,511.583,0.02488,2977.273,0.14126
239,King,033,98115,"September 16, 2020",43356.124,43616.781,43966.342,44033.157,44154.156,44313.527,44862.802,45305.256,45605.072,45857.999,46206,46146.614,46303.395,46667.072,47209.165,48376.363,49577.536,51171.717,51916.425,53032.777,54079.662,2849.876,0.06573,7873.662,0.1704
240,King,033,98116,"September 16, 2020",20965.01,21080.847,21239.65,21261.888,21310.375,21377.466,21632.595,21836.133,21970.881,22083.05,22241,22232.626,22321.554,22462.891,22763.838,23209.151,24762.04,25822.19,26152.791,26946.622,27319.408,1275.99,0.06086,5078.408,0.22834
241,King,033,98117,"September 16, 2020",29731.243,29877.95,30085.536,30099.746,30151.26,30229.192,30572.989,30843.713,31017.188,31158.795,31365,31359.672,31404.765,31589.908,31958.104,32434.859,32935.805,33713.858,34200.51,34380.233,34692.263,1633.757,0.05495,3327.263,0.10608
242,King,033,98118,"September 16, 2020",40672.842,40855.878,41122.113,41124.116,41177.227,41266.537,41718.724,42071.03,42290.641,42466.821,42731,43261.718,44114.306,44679.748,45129.749,45749.061,46886.09,48438.054,48906.056,49289.622,49055.706,2058.158,0.0506,6324.706,0.14801
243,King,033,98119,"September 16, 2020",19615.79,19747.096,19918.662,19962.076,20029.972,20115.174,20377.393,20591.227,20740.28,20868.006,21039,21121.79,21496.893,22021.464,22614.104,23554.765,24418.112,25245.841,25892.956,26223.234,26505.155,1423.21,0.07255,5466.155,0.25981
244,King,033,98121,"September 16, 2020",8517.339,8923.442,9348.056,9711.326,10083.553,10462.323,10934.231,11383.328,11797.882,12200.18,12628,12776.865,13101.61,12798.389,14930.266,16974.465,18487.894,20420.685,21763.882,22469.53,23067.9,4110.661,0.48262,10439.9,0.82673
245,King,033,98122,"September 16, 2020",28796.949,29046.448,29355.244,29474.963,29630.316,29810.961,30254.121,30625.947,30901.611,31145.491,31454,31803.502,31813.301,32957.657,34159.591,35181.683,38655.03,41126.869,42339.45,44125.594,45200.655,2657.051,0.09227,13746.655,0.43704
246,King,033,98125,"September 16, 2020",34938.375,35132.823,35399.162,35437.817,35520.224,35633.506,36060.543,36401.427,36627.605,36816.127,37081,37025.6,37563.209,38101.614,38415.919,39910.296,40826.141,42022.814,42680.56,43059.407,43229.697,2142.625,0.06133,6148.697,0.16582
247,King,033,98126,"September 16, 2020",18869.912,19042.095,19253.155,19340.196,19450.539,19577.413,19876.714,20129.238,20318.585,20487.027,20698,20997.383,21132.451,21523.635,21745.212,22293.517,22739.343,23495.777,23833.202,24207.086,24118.534,1828.088,0.09688,3420.534,0.16526
248,King,033,98133,"September 16, 2020",41933.966,42172.486,42497.03,42548.301,42652.051,42792.909,43310.353,43724.5,44000.909,44232.109,44555,44773.056,44843.456,45422.308,46067.535,46677.931,47404.574,48094.654,48645.369,49385.262,49764.261,2621.034,0.0625,5209.261,0.11692
249,King,033,98134,"September 16, 2020",1100.156,1053.951,1009.844,959.43,910.638,862.972,822.729,780.057,734.73,688.67,644,643.509,643.712,645.778,646.307,651.242,661.097,672.115,674.392,675.192,677.466,-456.156,(   41.463%),33.466,0.05197
250,King,033,98136,"September 16, 2020",14110.646,14168.684,14255.56,14250.865,14263.93,14289.569,14440.846,14557.482,14628.205,14683.881,14770,14760.441,14756.093,14802.904,14904.077,15281.429,15627.88,16049.12,16169.27,16221.214,16322.509,659.354,0.04673,1552.509,0.10511
251,King,033,98144,"September 16, 2020",24431.803,24662.979,24944.492,25065.284,25216.232,25388.547,25784.519,26119.839,26373.255,26599.527,26881,27050.671,27190.285,27505.389,27922.81,28682.743,29481.68,30329.745,31038.204,32050.891,34098.433,2449.197,0.10025,7217.433,0.2685
252,King,033,98146,"September 16, 2020",26150.419,26113.004,26128.643,25976.91,25858.794,25764.372,25896.028,25964.269,25950.056,25909.235,25922,26159.716,26361.37,26903.835,27424.204,27712.417,28264.043,28675.786,29103.49,29147.772,29317.33,-228.419,(    0.873%),3395.33,0.13098
253,King,033,98148,"September 16, 2020",9448.68,9499.511,9569.704,9578.371,9598.874,9627.765,9741.336,9831.673,9891.016,9940.209,10010,9927.847,9948.591,10019.96,10166.4,10311.848,10578.167,10770.613,10879.05,10891.121,10926.865,561.32,0.05941,916.865,0.09159
254,King,033,98154,"September 16, 2020",1,0.9,0.801,0.697,0.595,0.495,0.398,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,-1,(  100.000%),0,0
255,King,033,98155,"September 16, 2020",33553.18,33456.971,33428.729,33186.494,32987.62,32819.294,32938.828,32977.199,32910.673,32810.409,32778,32783.761,32839.747,32938.282,33213.458,33525.711,33892.783,33910.865,34249.942,34544.329,34826.668,-775.18,(    2.310%),2048.668,0.0625
256,King,033,98158,"September 16, 2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,King,033,98164,"September 16, 2020",1,14.992,29.027,42.828,56.563,70.26,84.618,98.901,112.924,126.826,141,140.817,140.966,142.047,143.469,146.285,150.698,156.018,157.108,156.738,156.851,140,140,15.851,0.11242
258,King,033,98166,"September 16, 2020",19814.215,19851.82,19929.809,19879.923,19855.179,19848.186,20015.593,20134.618,20189.925,20224.529,20301,20151.32,20130.598,20205.083,20249.517,20448.512,20916.736,21178.821,21757.516,21822.753,21946.999,486.785,0.02457,1645.999,0.08108
259,King,033,98168,"September 16, 2020",31896.824,32062.655,32293.814,32317.398,32380.948,32472.807,32850.3,33149.344,33343.929,33504.228,33734,33589.064,33738.763,33919.304,34140.221,34358.079,34874.611,35146.711,35397.362,36147.7,36440.581,1837.176,0.0576,2706.581,0.08023
260,King,033,98174,"September 16, 2020",180.007,161.915,144.137,125.496,107.173,89.062,71.676,53.946,35.976,17.975,0,0,0,0,0,0,0,0,0,0,0,-180.007,(  100.000%),0,0
261,King,033,98177,"September 16, 2020",19570.702,19505.739,19480.377,19330.37,19205.685,19098.808,19159.454,19172.815,19125.14,19057.873,19030,19030.096,19040.644,19136.698,19386.347,19776.452,20031.084,20222.254,20373.817,20443.242,20489.791,-540.702,(    2.763%),1459.791,0.07671
262,King,033,98178,"September 16, 2020",21278.312,21547.659,21861.054,22033.398,22231.638,22448.326,22862.961,23224.434,23513.309,23777.954,24092,24170.813,24337.363,24577.985,24986.484,25421.578,25825.055,26065.252,26351.896,26613.611,26811.042,2813.688,0.13223,2719.042,0.11286
263,King,033,98188,"September 16, 2020",20882.71,21093.778,21347.921,21464.477,21606.714,21767.207,22119.48,22419.865,22649.963,22856.762,23111,23155.222,23194.56,23278.582,23435.444,23589.977,23804.5,24728.399,24861.318,25088.967,25374.609,2228.29,0.10671,2263.609,0.09795
264,King,033,98195,"September 16, 2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,King,033,98198,"September 16, 2020",34616.975,34594.371,34642.09,34467.781,34337.849,34239.238,34441.141,34558.955,34567.107,34539.836,34584,34780.785,34863.59,34957.443,35330.825,35262.681,35732.012,36109.554,36501.382,36956.192,37597.529,-32.975,(    0.095%),3013.529,0.08714
266,King,033,98199,"September 16, 2020",19154.769,19197.176,19278.659,19236.395,19218.435,19217.628,19385.68,19506.913,19566.462,19605.929,19686,19698.718,19737.481,19855.415,20047.656,20375.827,20851.741,21312.382,21476.596,21510.554,21594.683,531.231,0.02773,1908.683,0.09696
267,King,033,98224,"September 16, 2020",286.521,287.111,288.284,287.603,287.29,287.232,289.698,291.464,292.305,292.85,294,298.366,306.1,310.666,319.14,321.207,323.3,324.092,310.691,308.961,311.004,7.479,0.0261,17.004,0.05784
268,King,033,98288,"September 16, 2020",351.501,349.461,348.12,344.558,341.461,338.677,338.867,338.21,336.471,334.391,333,333.576,346.077,351.151,360.447,357.501,368.604,369.022,373.033,372.947,378.322,-18.501,(    5.263%),45.322,0.1361
269,King,033,98354,"September 16, 2020",762.946,768.824,776.271,778.717,782.111,786.178,797.166,806.269,812.839,818.569,826,829.999,830.024,835.05,910.133,1005.275,1059.336,1173.68,1173.68,1173.675,1134.976,63.054,0.08265,308.976,0.37406
270,Kitsap,035,98110,"September 16, 2020",20308.162,20582.729,20927.082,21276.492,21496.904,21511.241,21990.685,22399.33,22718.423,22938.873,23025,23030,23090,23190,23360,23390,23760,23950,24320,24520,25070,2716.838,0.13378,2045,0.08882
271,Kitsap,035,98310,"September 16, 2020",18139.556,18198.332,18318.218,18441.326,18452.41,18289.097,18521.676,18691.918,18786.099,18798.686,18703,18860.664,18841.438,18813.242,18855.781,18941.918,19227.544,19293.631,19679.826,19784.141,19690.361,563.444,0.03106,987.361,0.05279
272,Kitsap,035,98311,"September 16, 2020",24788.661,24901.263,25097.519,25298.302,25345.451,25152.681,25504.253,25770.463,25932.023,25981.038,25880,26040.844,25873.11,26056.711,26199.925,26260.815,26453.347,26725.076,26861.206,27077.982,27138.361,1091.339,0.04403,1258.361,0.04862
273,Kitsap,035,98312,"September 16, 2020",30857.328,30796.202,30837.805,30883.509,30741.46,30311.269,30537.514,30658.491,30653.378,30515.283,30203,30404.018,30578.099,30776.877,30676.888,31016.797,31307.642,31395.21,31687.395,31986.399,32260.417,-654.328,(    2.120%),2057.417,0.06812
274,Kitsap,035,98314,"September 16, 2020",1807.482,1959.908,2119.436,2280.367,2427.61,2549.828,2726.894,2897.039,3056.557,3202.758,3329,4303.904,4916.602,3148.942,3669.306,4298.257,4309.355,4457.756,4346.293,4385.723,3889.286,1521.518,0.84179,560.286,0.1683
275,Kitsap,035,98315,"September 16, 2020",7253.065,7134.146,7038.655,6943.357,6805.726,6605.818,6549.228,6468.399,6360.102,6224.257,6054,6104.594,5928.5,5932.347,5933.079,6099.247,7082.233,6271.367,6328.48,6183.96,6055.998,-1199.065,(   16.532%),1.998,0.00033
276,Kitsap,035,98329,"September 16, 2020",60.022,68.329,76.895,85.532,93.658,100.784,110.072,119.113,127.736,135.801,143,145.867,145.298,145.942,146.089,146.22,146.616,150.32,152.189,152.744,153.329,82.978,1.38246,10.329,0.07223
277,Kitsap,035,98337,"September 16, 2020",6687.837,6689.697,6713.914,6739.143,6723.41,6644.441,6709.329,6751.335,6765.692,6750.695,6697,6710.529,6696.334,6636.077,6576.629,6727.508,6955.746,6906.438,7082.065,7224.537,7289.917,9.163,0.00137,592.917,0.08853
278,Kitsap,035,98340,"September 16, 2020",2117.7,2159.934,2209.538,2259.769,2296.321,2310.664,2374.942,2431.767,2478.981,2515.421,2537,2558.343,2545.922,2556.223,2581.811,2616.315,2665.987,2693.346,2734.099,2797.133,2855.256,419.3,0.198,318.256,0.12545
279,Kitsap,035,98342,"September 16, 2020",1159.949,1181.123,1206.317,1231.843,1249.9,1255.907,1289.053,1318.131,1341.976,1359.993,1370,1384.126,1388.583,1398.383,1411.134,1422.725,1441.537,1464.016,1477.09,1473.877,1501.179,210.051,0.18109,131.179,0.09575
280,Kitsap,035,98345,"September 16, 2020",403.002,418.161,434.772,451.558,465.614,475.07,494.779,513.041,529.316,543.294,554,558.601,537.447,541.502,545.825,546.584,549.395,550.324,551.725,555.116,559.038,150.998,0.37468,5.038,0.00909
281,Kitsap,035,98346,"September 16, 2020",7794.97,7946.284,8124.711,8305.413,8435.814,8484.711,8716.971,8921.827,9091.353,9221.401,9297,9304.452,9310.092,9422.234,9558.326,9597.396,9706.113,9867.813,9984.757,10123.998,10241.057,1502.03,0.19269,944.057,0.10154
282,Kitsap,035,98353,"September 16, 2020",0,0.4,0.803,1.209,1.608,1.986,2.406,2.824,3.234,3.629,4,4.09,4.055,4.079,4.092,4.103,4.141,4.185,4.178,4.222,4.235,4,0,0.235,0.05875
283,Kitsap,035,98359,"September 16, 2020",4406.17,4454.873,4518.65,4583.436,4620.426,4613.269,4705.882,4783.192,4841.293,4878.378,4887,4921.387,4928.617,4954.418,4973.679,4987.51,5094.67,5160.41,5223.925,5321.911,5369.955,480.83,0.10913,482.955,0.09882
284,Kitsap,035,98364,"September 16, 2020",53.391,52.559,51.901,51.244,50.274,48.843,48.471,47.922,47.171,46.213,45,44.243,44.006,44.393,44.465,44.531,44.727,45,44.951,45.252,45.27,-8.391,(   15.716%),0.27,0.006
285,Kitsap,035,98366,"September 16, 2020",31709.757,31969.043,32336.136,32709.858,32885.096,32747.374,33318.112,33779.107,34103.821,34280.471,34258,34412.367,34481.246,34361.071,34440.892,34519.719,34870.156,35093.801,35314.623,35549.255,35936.021,2548.243,0.08036,1678.021,0.04898
286,Kitsap,035,98367,"September 16, 2020",23969.547,24345.291,24803.778,25268.609,25580.29,25646.066,26266.226,26802.572,27232.156,27543.46,27693,28187.578,28337.339,28593.419,28922.238,29239.336,29954.085,30492.637,30918.728,31600.428,32128.197,3723.453,0.15534,4435.197,0.16016
287,Kitsap,035,98370,"September 16, 2020",25375.899,25794.732,26301.276,26814.694,27165.64,27255.128,27933.735,28523.524,28999.876,29350.219,29528,29766.992,29829.475,30210.019,30488.143,30740.14,31189.819,31705.379,32133.956,32625.07,33101.6,4152.101,0.16362,3573.6,0.12102
288,Kitsap,035,98380,"September 16, 2020",3288.621,3377.536,3478.054,3579.723,3659.741,3704.065,3828.379,3941.007,4038.223,4117.874,4173,4210.412,4190.015,4167.926,4189.559,4185.491,4231.627,4269.939,4315.991,4402.401,4459.355,884.379,0.26892,286.355,0.06862
289,Kitsap,035,98383,"September 16, 2020",19305.789,19350.617,19460.276,19573.15,19567.118,19376.456,19605.244,19767.759,19849.646,19845.413,19727,19888.004,19777.831,19960.902,20219.523,20321.879,20492.868,20656.972,20799.49,21090.892,21223.944,421.211,0.02182,1496.944,0.07588
290,Kitsap,035,98392,"September 16, 2020",2460.092,2513.837,2576.177,2639.284,2686.405,2707.495,2787.082,2857.992,2917.628,2964.59,2994,3026.676,3023.821,3053.1,3070.37,3061.22,3069.944,3113.754,3126.436,3162.187,3194.403,533.908,0.21703,200.403,0.06693
291,Kitsap,035,98528,"September 16, 2020",22,23.004,24.087,25.182,26.124,26.807,28.067,29.247,30.316,31.253,32,32.309,32.17,32.193,32.246,32.289,32.448,32.626,32.597,32.772,32.821,10,0.45455,0.821,0.02566
292,Kittitas,037,98068,"September 16, 2020",210.043,220.279,230.394,243.181,258.363,270.791,280.504,293.445,306.868,316.885,324,335.032,340.003,346.475,363.07,384.203,408.865,425.795,458.753,484.181,487.348,113.957,0.54254,163.348,0.50416
293,Kittitas,037,98828,"September 16, 2020",0,0.795,1.584,2.39,3.235,4.056,4.835,5.67,6.52,7.299,8,8.042,8.078,8.184,8.074,8.064,8.14,8.344,8.528,8.586,10.68,8,0,2.68,0.335
294,Kittitas,037,98901,"September 16, 2020",72.534,70.801,69.094,68.178,67.838,66.689,64.889,63.85,62.861,61.18,59,60.851,60.899,61.551,60.743,60.673,62.848,67.799,44.388,47.78,51.844,-13.534,(   18.659%),-7.156,(   12.129%)
295,Kittitas,037,98922,"September 16, 2020",4437.948,4516.823,4595.276,4726.444,4901.938,5022.523,5093.527,5223.714,5360.533,5438.513,5468,5563.049,5668.287,5785.612,5903.089,6053.994,6267.859,6550.693,6876.856,7220.948,7633.749,1030.052,0.2321,2165.749,0.39608
296,Kittitas,037,98925,"September 16, 2020",568.106,577.118,586.071,601.765,623.065,637.403,645.425,660.917,677.289,686.186,689,692.08,697.232,709.588,703.052,693.789,702.669,728.126,749.606,752.028,763.215,120.894,0.2128,74.215,0.10771
297,Kittitas,037,98926,"September 16, 2020",24267.95,24732.902,25195.235,25946.714,26941.983,27636.135,28057.196,28804.621,29588.386,30048.078,30239,30437.471,30475.11,30693.68,30743.322,31140.661,31893.152,32468.849,32883.567,33382.719,34429.266,5971.05,0.24605,4190.266,0.13857
298,Kittitas,037,98934,"September 16, 2020",899.184,916.076,932.865,960.368,996.881,1022.249,1037.516,1064.855,1093.529,1110.226,1117,1157.557,1173.903,1174.189,1194.671,1178.693,1182.886,1215.827,1228.575,1240.277,1240.629,217.816,0.24224,123.629,0.11068
299,Kittitas,037,98937,"September 16, 2020",4.001,3.581,3.167,2.788,2.426,2.028,1.612,1.215,0.815,0.405,0,0,0,0,0,0,0,0,0,0,0,-4.001,(  100.000%),0,0
300,Kittitas,037,98940,"September 16, 2020",553.103,570.745,588.243,612.52,642.669,665.792,682.284,706.682,732.107,749.436,760,785.44,820.123,854.883,860.272,888.908,915.221,970.016,1022.343,1079.542,1143.361,206.897,0.37407,383.361,0.50442
301,Kittitas,037,98941,"September 16, 2020",1055.187,1036.031,1017.167,1009.942,1011.418,1000.936,980.676,971.894,963.929,945.396,919,921.1,921.111,921.386,922.651,917.742,918.036,920.571,933.024,941.478,950.912,-136.187,(   12.906%),31.912,0.03472
302,Kittitas,037,98943,"September 16, 2020",561.303,568.136,574.948,588.359,607.216,619.225,625.125,638.297,652.239,659.04,660,663.118,657.603,658.457,658.786,658.625,659.064,659.997,660.66,674.791,680.32,98.697,0.17584,20.32,0.03079
303,Kittitas,037,98946,"September 16, 2020",521.605,516.184,510.867,511.397,516.434,515.434,509.386,509.284,509.678,504.48,495,498.652,499.54,506.321,504.213,503.568,509.049,526.184,541.099,544.205,552.668,-26.605,(    5.101%),57.668,0.1165
304,Kittitas,037,98950,"September 16, 2020",170.029,169.819,169.627,171.376,174.668,175.95,175.502,177.101,178.893,178.718,177,177.608,178.111,179.674,178.057,181.08,182.211,186.064,190.835,191.689,194.204,6.971,0.041,17.204,0.0972
